id,Cauce,Municipio,Provincia,Coordenadas UTM,X,Y,Z,Tipo de aforo,Instrumentación,Cuenca vertiente,titulo
2043,Pisuerga,Cabezón de Pisuerga,Valladolid,Huso 30,41.74108242242292,-4.63928754725192,698,---,Sonda y limnígrafo,"14.293,20 km2",Pisuerga en Cabezón de Pisuerga
2044,Esgueva,Valladolid,Valladolid,Huso 30,41.65094191843994,-4.704380510211022,690,---,Radar,"990,80 km2",Esgueva en Valladolid-Esgueva
2046,Adaja,Ávila,Ávila,Huso 30,40.649838321576446,-4.707181425459567,1066,---,Flotador y limnígrafo,"762,00 km2",Adaja en Ávila
2047,Voltoya,Mediana de Voltoya,Ávila,Huso 30,40.716977881681885,-4.539240525868252,1089,---,Sonda y limnígrafo,"132,00 km2",Voltoya en Mediana de Voltoya
2049,Esgueva,Cabañes de Esgueva,Burgos,Huso 30,41.82967919177364,-3.7905138183853837,871,---,"Sonda, flotador y limnígrafo","269,40 km2",Esgueva en Cabañes de Esgueva
2050,Eresma,Segovia,Segovia,Huso 30,40.95064121951864,-4.147768651992891,900,---,"Sonda,flotador y limnígrafo","252,20 km2",Eresma en Segovia
2051,Moros,El Espinar,Segovia,Huso 30,40.75031989504944,-4.155569862496401,1260,---,Sonda,"37,40 km2",Moros en El Espinar
2052,Moros,Valdeprados,Segovia,Huso 30,40.81986039073369,-4.282907058904563,940,---,"Sonda, flotador y limnígrafo","217,70 km2",Moros en Guijas Albas
2053,Eresma,Bernardos,Segovia,Huso 30,41.15582604492006,-4.3447956969982515,782,---,"Sonda, flotador y limnígrafo","1.436,10 km2",Eresma en Bernardos
2054,Duero,San Miguel del Pino,Valladolid,Huso 30,41.50411258174353,-4.930566440577414,670,---,Sonda,"36.595,40 km2",Duero en San Miguel del Pino
2055,Moros,Vegas de Matute,Segovia,Huso 30,40.773136267282716,-4.242430679350147,1045,---,"Sonda, flotador y limnígrafo","175,50 km2",Moros en Los Ángeles de San Rafael
2056,Adaja,Valdestillas,Valladolid,Huso 30,41.49040338867199,-4.769978095535315,693,---,Radar,"5.178,40 km2",Adaja en Valdestillas
2057,Pirón,Escobar de Polendos,Segovia,Huso 30,41.11316750741807,-4.124415880969627,869,---,Sonda y limnígrafo,"199,80 km2",Pirón en Villovela de Pirón
2060,Órbigo,Cebrones del Río,León,Huso 30,42.248466276514236,-5.829246537196424,754,---,Sonda y limnígrafo,"3.168,30 km2",Órbigo en Cebrones del Río
2061,Órbigo,Santa Marina del Rey,León,Huso 30,42.50563583217777,-5.878259225192842,835,---,Flotador y limnígrafo,"1.498,50 km2",Órbigo en Santa Marina del Rey
2062,Duero,Toro,Zamora,Huso 30,41.50827032647338,-5.3994201694761434,637,---,Sonda y limnígrafo,"41.654,80 km2",Duero en Toro-Duero
2063,Curueño,Valdelugueros,León,Huso 30,42.95247206465344,-5.399706576752926,1165,---,Sonda y limnígrafo,"98,00 km2",Curueño en Tolibia de Abajo
2068,Curueño,Valdelugueros,León,Huso 30,42.89792846265499,-5.400259194508825,1094,---,Sonda y limnígrafo,"153,40 km2",Curueño en Caldas de Nocedo
2073,Cea,Sahagún,León,Huso 30,42.370441775149,-5.038022368345576,800,---,Flotador y limnígrafo,"750,80 km2",Cea en Sahagún
2074,Esla,Villanueva de Azoague,Zamora,Huso 30,41.97428642618591,-5.636550634878723,703,---,Flotador y limnígrafo,"6.782,00 km2",Esla en Castropepe
2075,Luna,Los Barrios de Luna,León,Huso 30,42.819196239228255,-5.834279571972433,995,---,Sonda y limnígrafo,"529,00 km2",Luna en La Magdalena
2076,Omaña,Las Omañas,León,Huso 30,42.70340291264159,-5.902316604309398,969,---,Flotador,"482,00 km2",Omaña en Las Omañas
2077,Tuerto,Quintana del Castillo,León,Huso 30,42.64654612614241,-6.072790509498095,980,---,"Sonda, flotador y limnígrafo","55,00 km2",Tuerto en Villameca
2078,Porma,Puebla de Lillo,León,Huso 30,42.98872477000684,-5.259975638446723,1106,---,"Sonda, flotador y limnígrafo","145,10 km2",Porma en Camposolillo
2079,Órbigo,Santa Cristina de la Polvorosa,Zamora,Huso 30,42.00068869469954,-5.70854847449628,707,---,Radar,"4.876,00 km2",Órbigo en Santa Cristina de la Polvorosa
2080,Tera,Puebla de Sanabria,Zamora,Huso 30,42.05834208412998,-6.630421745358714,900,---,Sonda,"426,40 km2",Tera en Puebla de Sanabria
2081,Tormes,Puente del Congosto,Salamanca,Huso 30,40.5032982165012,-5.529985997466251,913,---,Sonda y limnígrafo,"1.481,30 km2",Tormes en Puente Congosto
2082,Eria,Morales del Rey,Zamora,Huso 30,42.05782028702004,-5.761029578670232,724,---,Flotador y limnígrafo,"654,90 km2",Eria en Morales del Rey
2085,Tormes,"Barco de Ávila, El",Ávila,Huso 30,40.360184746952555,-5.52746271227332,992,---,Sonda,"768,90 km2",Tormes en El Barco de Ávila
2087,Tormes,Salamanca,Salamanca,Huso 30,40.958786113219766,-5.647633795919766,780,---,Sonda y limnígrafo,"4.132,60 km2",Tormes en Salamanca
2089,Eria,Castrocontrigo,León,Huso 30,42.22452166141884,-6.251161015325111,972,---,Sonda y limnígrafo,"281,30 km2",Eria en Morla de La Valdería
