id,Provincia,Nombre,X,Y,Z
2789H,ZAMORA,POZUELO DE TABARA,41.916666666666664,-6.433333333333334,711
2804F,ZAMORA,VILLADEPERA,41.56666666666666,-6.65,790
2811A,AVILA,NAVARREDONDA DE GREDOS,40.38333333333333,-5.716666666666667,1525
2828Y,AVILA,BARCO DE AVILA,40.66666666666667,-5.666666666666667,1012
2847X,SALAMANCA,PEDROSILLO DE LOS AIRES   ,41.199999999999996,-6.2333333333333325,865
2863C,SALAMANCA,PEDRAZA DE ALBA  ,41.65,-6.316666666666666,897
2867,SALAMANCA,SALAMANCA AEROPUERTO,41.51666666666667,-6.383333333333334,790
2870,SALAMANCA,SALAMANCA,41.400000000000006,-6.383333333333334,775
2873X,SALAMANCA,BARBADILLO,41.11666666666667,-6.55,817
2882D,ZAMORA,PEÑAUSENDE,41.56666666666667,-6.7333333333333325,1003
2885K,ZAMORA,FRESNO DE SAYAGO,41.56666666666666,-6.35,804
2891A,SALAMANCA,VILLARINO DE LOS AIRES,42.03333333333333,-7.2,690
2914C,SALAMANCA,BOADILLA FUENTE SAN ESTEBAN,40.949999999999996,-6.366666666666667,785
2916A,SALAMANCA,VITIGUDINO,41.68333333333333,-6.7,769
2918Y,SALAMANCA,EL MAÍLLO,40.733333333333334,-6.633333333333334,1027
2926B,SALAMANCA,BAÑOBÁREZ,40.93333333333334,-7.133333333333333,748
2930Y,SALAMANCA,NAVASFRÍAS,41.08333333333333,-7.566666666666666,880
2945A,SALAMANCA,EL BODÓN BASE AÉREA,40.583333333333336,-7.183333333333334,805
2946X,SALAMANCA,SAELICES EL CHICO,40.733333333333334,-6.6,680
2966D,ZAMORA,ALCAÑICES  ,41.68333333333333,-6.383333333333333,840
2969U,OURENSE,A GUDIÑA,42.65,-8.15,910
2978X,OURENSE,VERÍN,42.516666666666666,-7.733333333333333,380
3013,GUADALAJARA,MOLINA DE ARAGÓN,41.333333333333336,-2.6,1062
3021Y,GUADALAJARA,ZAOREJAS,41.516666666666666,-2.2333333333333334,1230
3040Y,CUENCA,BETETA,40.86666666666667,-2.6500000000000004,1214
3044X,CUENCA,CAÑIZARES,41.333333333333336,-2.15,928
3085Y,GUADALAJARA,PASTRANA,40.86666666666667,-3.1333333333333333,920
3094B,CUENCA,TARANCÓN,40.68333333333333,-3.3,808
3099Y,TOLEDO,OCAÑA,40.03333333333333,-4.25,733
3100B,MADRID,ARANJUEZ,40.1,-4.3,540
3103,GUADALAJARA,PANTANO EL VADO,41.21666666666667,-3.4166666666666665,910
3104Y,MADRID,RASCAFRÍA,41.266666666666666,-4.183333333333334,1159
3110C,MADRID,BUITRAGO DEL LOZOYA,41.416666666666664,-4.416666666666667,1030
3111D,MADRID,SOMOSIERRA,41.266666666666666,-4.383333333333333,1450
3125Y,MADRID,SAN SEBASTIÁN DE LOS REYES,40.55,-3.6166666666666667,672
3126Y,MADRID,"MADRID, EL GOLOSO",41.23333333333333,-4.416666666666667,740
3129,MADRID,MADRID AEROPUERTO,40.46666666666667,-3.8833333333333333,609
3130C,GUADALAJARA,SIGÜENZA,41.266666666666666,-2.7,1005
3140Y,GUADALAJARA,MANDAYONA,41.083333333333336,-3.35,990
3168A,GUADALAJARA,"GUADALAJARA, INSTITUTO",40.71666666666667,-3.1666666666666665,685
3168C,GUADALAJARA,"GUADALAJARA, EL SERRANILLO",41.199999999999996,-3.5666666666666664,639
3168D,GUADALAJARA,GUADALAJARA,41.43333333333334,-3.15,727
3170Y,MADRID,ALCALA DE HENARES,41.21666666666667,-3.6666666666666665,605
3175,MADRID,TORREJÓN DE ARDOZ,40.800000000000004,-4.050000000000001,607
3182Y,MADRID,ARGANDA DEL REY,41.0,-4.35,533
3191E,MADRID,COLMENAR VIEJO,41.449999999999996,-4.65,1004
3194U,MADRID,"MADRID, CIUDAD UNIVERSITARIA",40.550000000000004,-4.166666666666667,664
3194Y,MADRID,POZUELO DE ALARCÓN,41.33333333333333,-4.6,665
3195,MADRID,"MADRID, RETIRO",41.11666666666667,-4.35,667
3196,MADRID,"MADRID, CUATRO VIENTOS",40.9,-3.9499999999999997,690
3200,MADRID,GETAFE,41.25,-4.05,620
3209Y,GUADALAJARA,BRIHUEGA,41.666666666666664,-3.316666666666667,955
3229Y,MADRID,TIELMES,41.06666666666667,-4.0,594
3245Y,TOLEDO,TEMBLEQUE,40.449999999999996,-3.85,635
3254Y,TOLEDO,MORA ,39.9,-4.6,717
3259,TOLEDO,"TOLEDO, LORENZANA",40.41666666666667,-4.55,540
3260B,TOLEDO,TOLEDO,39.96666666666667,-4.75,513
3266A,MADRID,PUERTO ALTO DEL LEÓN,41.083333333333336,-4.65,1532
3268C,MADRID,ALPEDRETE,41.233333333333334,-4.066666666666666,924
3298X,TOLEDO,SAN PABLO DE LOS MONTES,40.35,-4.383333333333333,917
3305Y,TOLEDO,NAVAHERMOSA,40.45,-5.083333333333334,750
3319D,AVILA,PUERTO DEL PICO,40.71666666666667,-5.766666666666667,1285
